Time,Roll,Pitch,Yaw,AccelX,AccelY,AccelZ,Letter,Name
1525788054,0.058457357,0.122143641,-2.119023451,0.015741676,0.005598694,0.001199782,N,James
1525788054,0.062207014,0.125864569,-2.117925385,0.006745283,-0.018617272,0.064023077,N,James
1525788054,0.06311903,0.129259011,-2.117872476,-0.001180068,0.003426343,0.043515921,N,James
1525788054,0.063093712,0.131943516,-2.118173739,-0.004383087,0.012817115,0.065507472,N,James
1525788054,0.062602274,0.133964752,-2.118663439,0.008952517,-0.000835001,0.023171663,N,James
1525788054,0.062120882,0.135763727,-2.118833406,0.005613726,0.001786858,0.000438035,N,James
1525788054,0.062073007,0.137544666,-2.119263647,0.014160015,0.009319037,-0.012115061,N,James
1525788054,0.062128093,0.139480116,-2.119265402,0.020561349,0.007787451,-0.018824339,N,James
1525788054,0.062267865,0.141633801,-2.119330513,0.007456753,0.005540624,-0.015700877,N,James
1525788054,0.062885269,0.144070577,-2.119185712,-0.015928105,-0.004208669,-0.010332763,N,James
1525788054,0.063825409,0.146556339,-2.119819136,-0.033465758,-0.007104948,-0.009560704,N,James
1525788054,0.064925479,0.148996383,-2.120969658,-0.034528472,-0.004691496,-0.009989202,N,James
1525788054,0.066000509,0.150750548,-2.122122836,-0.02457045,-0.01217331,0.039469361,N,James
1525788054,0.066964213,0.151714747,-2.123355869,-0.009962693,-0.011418462,0.045654535,N,James
1525788054,0.067818743,0.152035804,-2.124760657,0.012604788,-0.003868461,0.031068623,N,James
1525788054,0.068476537,0.152140126,-2.125652803,0.029443741,-0.003704295,0.003771603,N,James
1525788054,0.068892567,0.152278928,-2.126154252,0.037045792,-0.001446128,-0.009308636,N,James
1525788054,0.069048777,0.152504205,-2.126571382,0.030027658,-0.005617991,-0.007507026,N,James
1525788054,0.069084145,0.152623705,-2.126629463,0.00870803,-0.005133674,0.011332273,N,James
1525788054,0.069197003,0.152334078,-2.127042704,0.004992634,4.27E-05,0.024445236,N,James
1525788054,0.069548495,0.151540194,-2.127124948,0.009810433,-0.000757277,0.021458745,N,James
1525788054,0.070073817,0.150470136,-2.127452204,0.018115968,-0.004638046,0.001288891,N,James
1525788054,0.070593204,0.14939786,-2.127436005,0.018477425,-0.007712454,-0.008810818,N,James
1525788054,0.070938458,0.148366137,-2.127798586,0.002516285,-0.007283181,-0.010208189,N,James
1525788054,0.071094396,0.147344096,-2.12807199,-0.014280327,-0.01340577,-0.007658064,N,James
1525788054,0.07107164,0.146486281,-2.128911286,-0.014831364,-0.010409117,-0.019036293,N,James
1525788054,0.070923917,0.145973534,-2.129665206,-0.005993381,-0.013434097,-0.029998779,N,James
1525788054,0.070809627,0.145764904,-2.130693105,0.003364086,-0.011916265,-0.02710712,N,James
1525788054,0.070822107,0.145603998,-2.1313957,0.003807887,-0.007558867,-0.008087516,N,James
1525788054,0.071046745,0.145210544,-2.132349967,0.000469342,0.000917196,0.004282713,N,James
1525788054,0.071438861,0.144495261,-2.132967228,0.001448259,-0.003162801,0.010507345,N,James
1525788054,0.071889316,0.143499552,-2.133821592,0.002366677,-0.004956901,-0.000337839,N,James
1525788054,0.072358905,0.142502632,-2.134319368,0.003144071,-0.00753057,-0.01896745,N,James
1525788054,0.072807978,0.141678857,-2.134974603,0.011969574,-0.005279034,-0.034828782,N,James
1525788054,0.073127901,0.141168291,-2.135134761,0.018347055,-0.006806836,-0.042699397,N,James
1525788054,0.073344312,0.140952748,-2.135461993,0.002963915,-0.007493258,-0.040533364,N,James
1525788054,0.073598462,0.140758543,-2.135598568,-0.007726058,-0.008585811,-0.028027713,N,James
1525788054,0.073931093,0.140373256,-2.13610799,-0.013994157,-0.010401621,-0.023466289,N,James
1525788054,0.074331372,0.139830049,-2.136524714,-0.0188201,-0.012144953,-0.021543145,N,James
1525788054,0.074757063,0.139180533,-2.137439663,-0.019903332,-0.014527664,-0.025879025,N,James
1525788054,0.075239944,0.138379855,-2.138220354,-0.0096616,-0.018967479,-0.024598956,N,James
1525788054,0.075813329,0.137481035,-2.139276108,0.004640073,-0.028021216,-0.039548457,N,James
1525788054,0.076626335,0.136563929,-2.139937466,0.013242155,-0.03485015,-0.048777461,N,James
1525788054,0.077491519,0.135631223,-2.140689113,0.030123755,-0.034629822,-0.060344517,N,James
1525788054,0.078238681,0.134784063,-2.140999895,0.03700617,-0.040962413,-0.080597699,N,James
1525788054,0.078793219,0.134014211,-2.141587856,0.028393589,-0.045021206,-0.098222911,N,James
1525788054,0.078990147,0.133455143,-2.142007824,0.03252665,-0.052594334,-0.126575828,N,James
1525788054,0.078691321,0.133366225,-2.14277527,0.045745164,-0.061929286,-0.159164011,N,James
1525788055,0.078037073,0.133792484,-2.143287811,0.053552404,-0.067259401,-0.181188285,N,James
1525788055,0.077177248,0.134565065,-2.143948815,0.061261147,-0.076381445,-0.198849142,N,James
1525788055,0.076387926,0.13552214,-2.144049905,0.072991416,-0.085870102,-0.228397608,N,James
1525788055,0.076003257,0.136563984,-2.144172816,0.077532567,-0.090910882,-0.262536585,N,James
1525788055,0.076247887,0.137784796,-2.143686617,0.096941702,-0.093745112,-0.31940788,N,James
1525788055,0.077218815,0.139237076,-2.143216472,0.086919293,-0.099203706,-0.367365241,N,James
1525788055,0.07889453,0.1409474,-2.142230492,0.104463965,-0.102637112,-0.444179237,N,James
1525788055,0.080981887,0.14380853,-2.141079236,0.127827376,-0.094983146,-0.528458655,N,James
1525788055,0.082981197,0.148141928,-2.1391087,0.13825196,-0.084378704,-0.571988702,N,James
1525788055,0.084383742,0.153900542,-2.136581007,0.137049466,-0.075282931,-0.614471853,N,James
1525788055,0.085131967,0.161467518,-2.133202783,0.116455272,-0.083297521,-0.670131266,N,James
1525788055,0.085561436,0.171011976,-2.129667281,0.085528255,-0.095781043,-0.697299421,N,James
1525788055,0.085903459,0.182067921,-2.12595241,0.055192426,-0.095334008,-0.690748453,N,James
1525788055,0.086314769,0.194146464,-2.122489351,0.040961303,-0.083071873,-0.669153452,N,James
1525788055,0.086729765,0.207217053,-2.118726105,0.036203668,-0.065151989,-0.675797403,N,James
1525788055,0.087145261,0.221949436,-2.114795735,0.023971409,-0.054572329,-0.703066766,N,James
1525788055,0.087766689,0.238664287,-2.110382149,-0.015741959,-0.046050459,-0.698360443,N,James
1525788055,0.088822532,0.256993,-2.105955435,-0.062202469,-0.048011601,-0.658037782,N,James
1525788055,0.090263925,0.27669731,-2.102132645,-0.147961453,-0.005292833,-0.621939957,N,James
1525788055,0.091897216,0.297899783,-2.099381786,-0.187625289,0.005045742,-0.589933693,N,James
1525788055,0.093543737,0.320797966,-2.097740626,-0.204853028,0.019105047,-0.549961805,N,James
1525788055,0.095028212,0.346052372,-2.097341071,-0.219921365,0.034896076,-0.521945298,N,James
1525788055,0.096445413,0.372925838,-2.098234616,-0.237168521,0.068748474,-0.431842625,N,James
1525788055,0.098099415,0.401509421,-2.10005674,-0.224445596,0.10369879,-0.376189947,N,James
1525788055,0.100367934,0.430815442,-2.102733374,-0.22681649,0.143823415,-0.253158867,N,James
1525788055,0.103858568,0.459128253,-2.106291165,-0.221796036,0.182394087,-0.102364361,N,James
1525788055,0.109119323,0.486048404,-2.110484081,-0.195045233,0.235675037,-0.036127806,N,James
1525788055,0.116097724,0.51184887,-2.115176146,-0.166222736,0.26212886,0.047153831,N,James
1525788055,0.123915254,0.535994197,-2.120099488,-0.135439858,0.284576058,0.12430191,N,James
1525788055,0.131832322,0.558728555,-2.12496308,-0.128535554,0.295230031,0.153224111,N,James
1525788055,0.139683835,0.580657068,-2.129868588,-0.132600054,0.299199045,0.163910985,N,James
1525788055,0.14728337,0.602320616,-2.135114499,-0.132034913,0.325116396,0.170859814,N,James
1525788055,0.154593515,0.624664839,-2.141272176,-0.126518399,0.364259601,0.177034259,N,James
1525788055,0.161345716,0.647394615,-2.148560173,-0.10503909,0.390372217,0.241322517,N,James
1525788055,0.167291337,0.670215618,-2.156395016,-0.074264765,0.410843074,0.300807238,N,James
1525788055,0.172162923,0.692670136,-2.164613263,-0.086941883,0.408262789,0.360552847,N,James
1525788055,0.176059583,0.714113236,-2.17303096,-0.112490371,0.397898018,0.405368924,N,James
1525788055,0.179062382,0.734303229,-2.181918361,-0.108145207,0.373179853,0.422414541,N,James
1525788055,0.181019825,0.753814405,-2.190591633,-0.078951687,0.371695876,0.415412009,N,James
1525788055,0.181743733,0.773034754,-2.198668233,-0.067440629,0.3637923,0.429651618,N,James
1525788055,0.18221417,0.791265856,-2.206375422,-0.099150091,0.357483923,0.501350522,N,James
1525788055,0.183270558,0.807345947,-2.214091268,-0.105332613,0.366802812,0.573179126,N,James
1525788055,0.184600927,0.821062316,-2.22117943,-0.093206167,0.383878231,0.615558982,N,James
1525788055,0.185215789,0.832636928,-2.227861058,-0.09505558,0.404518604,0.662820876,N,James
1525788055,0.184100458,0.842083458,-2.233884026,-0.098358452,0.423735976,0.686363578,N,James
1525788055,0.181418762,0.849628501,-2.239624419,-0.108019352,0.420789242,0.696559668,N,James
1525788055,0.177704093,0.855395484,-2.245048117,-0.103404254,0.429589331,0.71175158,N,James
1525788055,0.172938874,0.859368797,-2.24981876,-0.069307238,0.449492991,0.744188249,N,James
1525788055,0.167173742,0.861098553,-2.253167,-0.042964071,0.48208487,0.814241648,N,James
1525788055,0.160736476,0.859612501,-2.255360144,-0.021321148,0.506506264,0.89303416,N,James
1525788055,0.153936329,0.854529129,-2.256090838,-0.001809984,0.519947827,0.924550235,N,James
1525788055,0.146938757,0.846304489,-2.255954809,0.011089623,0.512233496,0.915438592,N,James
1525788055,0.139607174,0.835575275,-2.254983022,0.03323403,0.50100565,0.899056792,N,James
