Time,Roll,Pitch,Yaw,AccelX,AccelY,AccelZ,Letter,Name
1525788581,0.165551397,0.273018083,-1.988302186,0.106596917,0.022660196,0.057385266,Z,James
1525788581,0.166626946,0.273761223,-1.98634369,0.06549336,0.018187761,0.010415792,Z,James
1525788581,0.167427554,0.274621012,-1.984259744,0.028776601,0.002871633,-0.033444703,Z,James
1525788581,0.167568073,0.27587271,-1.982357945,0.009718046,0.007112712,-0.055409133,Z,James
1525788581,0.167262764,0.277537219,-1.981013729,-0.003893644,0.011170566,-0.017783642,Z,James
1525788581,0.167033231,0.279155229,-1.979883178,-0.003418952,0.015884876,0.018878281,Z,James
1525788581,0.166773616,0.280080949,-1.978945977,0.005277157,0.010976285,0.028372407,Z,James
1525788581,0.166579385,0.280301519,-1.9780402,0.010705113,-0.003368616,0.004890442,Z,James
1525788581,0.166575801,0.280210626,-1.977307195,0.02152282,-0.014091343,-0.016522765,Z,James
1525788581,0.166753285,0.280160098,-1.976475823,0.026097775,-0.011011839,-0.024517655,Z,James
1525788581,0.166915102,0.280262607,-1.975574494,0.017038018,-0.010608166,-0.01547718,Z,James
1525788581,0.167044194,0.280359408,-1.974478066,-0.003374055,-0.006990373,0.002114952,Z,James
1525788581,0.167196339,0.280273294,-1.973474346,-0.016766816,-0.006554306,0.00673753,Z,James
1525788581,0.167344192,0.280035726,-1.972561456,-0.019344002,-0.008003324,0.005283296,Z,James
1525788581,0.16743825,0.279736138,-1.971883334,-0.010947779,-0.004964858,-0.008413553,Z,James
1525788581,0.167365235,0.279571242,-1.971190024,-0.001990303,-0.009319484,-0.015238702,Z,James
1525788581,0.167210057,0.279579122,-1.970566518,-0.010784522,-0.007297754,-0.005145252,Z,James
1525788581,0.167190697,0.279448518,-1.97002526,-0.021773756,-0.009361148,-0.004084289,Z,James
1525788581,0.167417045,0.279161574,-1.969742375,-0.025068477,-0.010918736,-0.011900783,Z,James
1525788581,0.16763701,0.278863002,-1.969638957,-0.032340258,-0.009740919,-0.013945401,Z,James
1525788581,0.167868462,0.278508244,-1.969966346,-0.031355232,-0.003001899,-0.013428569,Z,James
1525788581,0.168136734,0.278196477,-1.970458266,-0.013969451,0.00715059,-0.019231379,Z,James
1525788581,0.168350101,0.278052006,-1.970916089,-0.006121725,0.012886316,-0.018372118,Z,James
1525788581,0.168620508,0.278098651,-1.971086192,-0.010190606,0.018607438,-0.00829649,Z,James
1525788581,0.168942937,0.278138509,-1.971052747,-0.027980983,0.024077892,0.001513064,Z,James
1525788581,0.169246954,0.278033569,-1.97075573,-0.045730054,0.022222221,-0.006869555,Z,James
1525788581,0.169400475,0.277825351,-1.970451312,-0.069673657,0.021228522,-0.017046273,Z,James
1525788581,0.16948474,0.277431252,-1.970185295,-0.115334481,0.019094765,-0.024888039,Z,James
1525788581,0.169603526,0.276674929,-1.970394823,-0.152789757,0.020183086,-0.044936538,Z,James
1525788581,0.169719637,0.275575906,-1.971047761,-0.169246837,0.020361662,-0.082059383,Z,James
1525788581,0.169779013,0.274458416,-1.972229117,-0.169476509,0.024138451,-0.123762131,Z,James
1525788581,0.169592011,0.273760576,-1.973491522,-0.175220847,0.023008913,-0.155863643,Z,James
1525788581,0.169037681,0.273599358,-1.974814403,-0.19697997,0.017894566,-0.167815745,Z,James
1525788581,0.168272618,0.273909499,-1.975952461,-0.245189965,0.016179025,-0.178211808,Z,James
1525788581,0.167412875,0.274580329,-1.977305882,-0.297871441,0.00966841,-0.191176832,Z,James
1525788581,0.166496012,0.275551238,-1.979100678,-0.34966135,0.000577778,-0.194662452,Z,James
